City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,maun,-19.9833,23.4167,72.46,19,0,7.85,BW,1715531849
74,great falls,47.5002,-111.3008,62.67,59,0,8.05,US,1715531850
75,goz beida,13.95,20.55,99.57,7,85,10.0,TD,1715531850
76,mysen,59.5535,11.3258,59.41,55,39,8.12,NO,1715531850
77,papatowai,-46.5619,169.4708,49.26,84,100,8.99,NZ,1715531850
78,chui,-33.6971,-53.4616,58.01,93,100,6.11,UY,1715531850
79,torghay,49.6339,63.4981,66.74,34,70,13.42,KZ,1715531851
80,vila franca do campo,37.7167,-25.4333,66.61,64,1,8.75,PT,1715531851
81,woolgoolga,-30.1106,153.2007,55.27,88,5,8.43,AU,1715531851
82,vorgashor,67.5833,63.95,16.81,95,19,9.24,RU,1715531851
83,kapa'a,22.0752,-159.319,67.1,85,20,8.05,US,1715531851
84,tindouf,27.6711,-8.1474,102.65,10,20,18.41,DZ,1715531851
85,antonio enes,-16.2325,39.9086,78.28,75,1,7.02,MZ,1715531852
86,oleshky,46.6249,32.7251,56.3,41,85,14.67,UA,1715531852
87,kourou,5.1552,-52.6478,87.85,70,100,7.02,GF,1715531852
88,villa gesell,-37.2639,-56.973,55.06,59,100,13.22,AR,1715531852
89,champerico,14.3,-91.9167,91.94,63,79,10.29,GT,1715531852
90,dudinka,69.4058,86.1778,25.63,91,58,7.92,RU,1715531852
91,afaahiti,-17.75,-149.2833,75.07,82,54,13.56,PF,1715531853
92,fort st. john,56.2499,-120.8529,53.49,50,75,12.66,CA,1715531778
93,severo-yeniseyskiy,60.3725,93.0408,34.57,93,39,3.0,RU,1715531853
94,antofagasta,-23.65,-70.4,61.88,75,86,11.97,CL,1715531853
95,amontada,-3.3617,-39.8317,84.72,79,43,4.25,BR,1715531853
96,lorengau,-2.0226,147.2712,80.51,86,100,5.3,PG,1715531853
97,santa ana de yacuma,-13.75,-65.4333,91.35,58,20,9.22,BO,1715531854
98,longyearbyen,78.2186,15.6401,35.44,69,75,2.3,SJ,1715531595
99,kodiak,57.79,-152.4072,38.71,93,75,3.44,US,1715531854
100,nova sintra,14.8667,-24.7167,75.25,80,29,22.35,CV,1715531854
101,enewetak,11.3474,162.3373,81.39,82,97,19.24,MH,1715531854
102,berdigestyakh,62.0989,126.6992,30.79,80,99,5.59,RU,1715531854
103,rawai,7.7797,98.3253,88.99,73,80,3.33,TH,1715531854
104,vadso,70.0744,29.7487,43.68,70,40,6.91,NO,1715531855
105,yemetsk,63.4721,41.7941,31.84,88,99,5.21,RU,1715531855
106,acapulco de juarez,16.8634,-99.8901,82.22,61,100,3.44,MX,1715531855
107,oroqen zizhiqi,50.5667,123.7167,41.45,36,36,1.72,CN,1715531855
108,coquimbo,-29.9533,-71.3436,56.98,68,0,9.22,CL,1715531597
109,keflavik,64.0049,-22.5624,51.71,87,75,12.66,IS,1715531855
110,hobyo,5.3505,48.5268,84.36,80,23,15.59,SO,1715531856
111,lagunas,-5.2269,-75.6753,95.61,46,48,2.04,PE,1715531856
112,kruisfontein,-34.0033,24.7314,58.89,91,6,1.43,ZA,1715531856
113,gisborne,-38.6533,178.0042,46.04,78,0,4.14,NZ,1715531856
114,kolonia town,6.964,158.206,77.0,100,100,0.0,FM,1715531856
115,progreso,21.2833,-89.6667,93.31,42,79,6.2,MX,1715531609
116,alofi,-19.0595,-169.9187,75.09,73,75,11.5,NU,1715531857
117,vila velha,-20.3297,-40.2925,91.35,99,20,6.91,BR,1715531857
118,port elizabeth,-33.918,25.5701,62.31,86,20,8.05,ZA,1715531857
119,vilyuchinsk,52.9306,158.4028,39.92,79,100,3.33,RU,1715531857
120,san luis de la loma,17.2706,-100.8939,87.96,42,9,6.49,MX,1715531858
121,viedma,-40.8135,-62.9967,54.77,45,32,10.27,AR,1715531858
122,punta arenas,-53.15,-70.9167,41.11,56,0,11.5,CL,1715531858
123,ornskoldsvik,63.2909,18.7153,65.35,52,0,13.8,SE,1715531858
124,mil'kovo,55.6078,37.7956,42.44,56,97,8.14,RU,1715531858
125,lodja,-3.4833,23.4333,81.72,65,98,2.57,CD,1715531858
126,salida,37.7058,-121.0849,81.9,56,0,0.0,US,1715531859
127,moroto,2.5345,34.6666,73.24,56,94,6.73,UG,1715531859
128,aral,40.5156,81.2636,79.11,8,96,12.08,CN,1715531859
129,fale old settlement,-9.3852,-171.2468,84.85,75,92,13.69,TK,1715531859
130,lompoc,34.6391,-120.4579,55.81,96,100,0.0,US,1715531807
131,anadyr,64.75,177.4833,30.7,80,100,8.95,RU,1715531859
132,kilindoni,-7.9139,39.6668,80.89,75,67,11.77,TZ,1715531859
133,kangaba,11.9333,-8.4167,105.57,19,91,7.67,ML,1715531860
134,wailua homesteads,22.0669,-159.378,65.75,85,20,8.05,US,1715531860
