City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,rottingdean,50.8098,-0.0594,280.47,84,86,6.71,GB,1708636391
238,jutai,-5.1833,-68.9,305.06,55,97,1.89,BR,1708636391
239,huanuni,-18.2667,-66.85,285.87,26,54,5.59,BO,1708636392
240,thompson,55.7435,-97.8558,254.66,82,100,3.4,CA,1708636392
241,wewak,-3.5534,143.6268,299.19,87,100,1.83,PG,1708636392
242,takoradi,4.8845,-1.7554,300.94,80,97,4.18,GH,1708636393
243,chernyshevskiy,63.0128,112.4714,239.47,100,100,1.08,RU,1708636393
244,tazacorte,28.629,-17.9293,292.69,89,75,5.66,ES,1708636394
245,puerto deseado,-47.7503,-65.8938,285.11,68,99,8.07,AR,1708636394
246,coahuayana de hidalgo,18.7,-103.6583,303.68,52,0,3.32,MX,1708636394
247,behbahan,30.5959,50.2417,287.04,52,44,1.03,IR,1708636395
248,kalmunai,7.4167,81.8167,297.58,83,7,0.89,LK,1708636395
249,urangan,-25.3,152.9,298.82,92,86,2.68,AU,1708636397
250,hami,42.8,93.45,265.69,71,19,1.21,CN,1708636397
251,lishui,28.4604,119.9103,275.57,98,100,2.04,CN,1708636397
252,contamana,-7.3333,-75.0167,305.82,47,100,2.91,PE,1708636398
253,arteche,12.2645,125.4048,297.75,85,10,3.34,PH,1708636398
254,turaiyur,11.1667,78.6167,299.74,70,36,0.91,IN,1708636398
255,farkhar,36.5729,69.8578,271.78,65,100,3.32,AF,1708636399
256,luau,-10.7073,22.2247,293.18,95,100,2.17,AO,1708636399
257,rantepao,-2.9701,119.8978,293.6,97,95,0.95,ID,1708636399
258,saint-philippe,-21.3585,55.7679,298.92,90,100,4.02,RE,1708636400
259,kijang,35.2442,129.2139,277.08,80,100,6.82,KR,1708636400
260,midvagur,62.0511,-7.1939,275.61,87,75,0.51,FO,1708636401
261,pandan,14.0453,124.1694,297.92,87,14,4.22,PH,1708636401
262,kingston,17.997,-76.7936,299.91,54,12,0.77,JM,1708636401
263,delacombe,-37.5891,143.8147,286.34,80,81,1.79,AU,1708636401
264,tazovsky,67.4667,78.7,252.34,99,88,3.49,RU,1708636402
265,codrington,-38.2667,141.9667,288.87,67,100,7.53,AU,1708636402
266,olutanga,7.3106,122.8464,299.65,82,32,3.03,PH,1708636402
267,ust'-kulom,61.6864,53.6902,261.4,95,98,2.75,RU,1708636403
268,remire-montjoly,4.9167,-52.2667,302.17,70,20,6.69,GF,1708636403
269,ketchikan,55.3422,-131.6461,278.9,93,100,4.12,US,1708636403
270,susuman,62.7833,148.1667,235.92,99,92,0.89,RU,1708636404
271,richards bay,-28.783,32.0377,297.49,86,73,2.16,ZA,1708636404
272,minas de marcona,-15.2119,-75.1103,294.61,77,100,4.61,PE,1708636404
273,kachkanar,58.7,59.4948,255.99,97,36,2.78,RU,1708636405
274,college,64.8569,-147.8028,273.12,64,100,5.66,US,1708636405
275,verkhovyna,48.1557,24.7911,278.11,65,100,3.92,UA,1708636405
276,mount gambier,-37.8333,140.7667,288.09,64,100,4.82,AU,1708636405
277,el jadid,33.2549,-8.506,289.59,83,62,3.62,MA,1708636406
278,kibre mengist,5.8833,38.9833,288.23,46,92,1.1,ET,1708636406
279,hithadhoo,-0.6,73.0833,301.33,76,100,1.07,MV,1708636407
280,sitka,57.0531,-135.33,279.09,81,100,8.23,US,1708636407
281,praia da vitoria,38.7333,-27.0667,286.35,77,100,4.76,PT,1708636407
282,simpang,-1.2667,104.0833,298.02,97,96,0.12,ID,1708636408
283,saint-joseph,-21.3667,55.6167,297.36,91,100,3.36,RE,1708636408
